model,n,positive_rate,threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,log_loss,brier_score,tn,fp,fn,tp
random_forest,1500,0.15,0.9,0.8546666666666667,0.5155555555555555,1.0,0.03111111111111111,0.0603448275862069,0.9076252723311548,0.6433719569229264,0.2586739294370796,0.08017034035965141,1275,0,218,7
xgboost,1500,0.15,0.1,0.7446666666666667,0.8168627450980392,0.3618881118881119,0.92,0.5194479297365119,0.9122300653594771,0.670588562189534,0.28587836851943443,0.09093290373117018,910,365,18,207
xgboost,1500,0.15,0.11,0.7566666666666667,0.8220915032679739,0.37318840579710144,0.9155555555555556,0.5302445302445302,0.9122300653594771,0.670588562189534,0.28587836851943443,0.09093290373117018,929,346,19,206
xgboost,1500,0.15,0.12000000000000001,0.7586666666666667,0.8177777777777777,0.3738489871086556,0.9022222222222223,0.5286458333333334,0.9122300653594771,0.670588562189534,0.28587836851943443,0.09093290373117018,935,340,22,203
xgboost,1500,0.15,0.13,0.7633333333333333,0.8168627450980392,0.37781954887218044,0.8933333333333333,0.5310435931307794,0.9122300653594771,0.670588562189534,0.28587836851943443,0.09093290373117018,944,331,24,201
xgboost,1500,0.15,0.14,0.7666666666666667,0.8169934640522876,0.38095238095238093,0.8888888888888888,0.5333333333333333,0.9122300653594771,0.670588562189534,0.28587836851943443,0.09093290373117018,950,325,25,200
xgboost,1500,0.15,0.15000000000000002,0.7753333333333333,0.8202614379084967,0.39019607843137255,0.8844444444444445,0.5414965986394558,0.9122300653594771,0.670588562189534,0.28587836851943443,0.09093290373117018,964,311,26,199
xgboost,1500,0.15,0.16,0.782,0.8186928104575163,0.3967611336032389,0.8711111111111111,0.545201668984701,0.9122300653594771,0.670588562189534,0.28587836851943443,0.09093290373117018,977,298,29,196
xgboost,1500,0.15,0.17,0.7866666666666666,0.821437908496732,0.4024640657084189,0.8711111111111111,0.550561797752809,0.9122300653594771,0.670588562189534,0.28587836851943443,0.09093290373117018,984,291,29,196
xgboost,1500,0.15,0.18,0.7913333333333333,0.8223529411764706,0.40794979079497906,0.8666666666666667,0.5547652916073968,0.9122300653594771,0.670588562189534,0.28587836851943443,0.09093290373117018,992,283,30,195
